"","idsec","sector","idpress","pressure","ideco","ecochar","overlap"
"81",1,"Aggregates",4,"Non-living Resources",6,"Shallow sediment","S"
"82",1,"Aggregates",4,"Non-living Resources",7,"Shelf rock & reef","NO"
"83",1,"Aggregates",4,"Non-living Resources",8,"Shelf sediment","S"
"84",1,"Aggregates",4,"Non-living Resources",9,"Slope rock & reef","NO"
"85",1,"Aggregates",4,"Non-living Resources",10,"Slope sediment","NO"
"86",1,"Aggregates",4,"Non-living Resources",11,"Deep Sea rock & reef","NO"
"87",1,"Aggregates",4,"Non-living Resources",12,"Deep Sea Sediment","NO"
"88",1,"Aggregates",4,"Non-living Resources",13,"Coastal Pelagic","S"
"89",1,"Aggregates",4,"Non-living Resources",14,"Shelf Pelagic","S"
"90",1,"Aggregates",4,"Non-living Resources",15,"Oceanic Pelagic","NO"
"91",1,"Aggregates",4,"Non-living Resources",16,"Marine Mammals","S"
"92",1,"Aggregates",4,"Non-living Resources",17,"Pelagic Fish","S"
"93",1,"Aggregates",4,"Non-living Resources",18,"Demersal Fish","S"
"94",1,"Aggregates",4,"Non-living Resources",19,"Deep-sea Fish","NO"
"95",1,"Aggregates",4,"Non-living Resources",20,"Deep-sea Elasmobranchs","NO"
"96",1,"Aggregates",4,"Non-living Resources",21,"Pelagic Elasmobranchs","S"
"97",1,"Aggregates",4,"Non-living Resources",22,"Demersal Elasmobranchs","S"
"98",1,"Aggregates",4,"Non-living Resources",23,"Reptiles","S"
"99",1,"Aggregates",4,"Non-living Resources",24,"Marine birds","NO"
"100",1,"Aggregates",4,"Non-living Resources",25,"Cephalopods","S"
"101",1,"Aggregates",5,"Noise",1,"Littoral rock & reef","NO"
"102",1,"Aggregates",5,"Noise",2,"Littoral sediment","S"
"103",1,"Aggregates",5,"Noise",3,"Mangroves","NO"
"104",1,"Aggregates",5,"Noise",4,"Saltmarshes","NO"
"105",1,"Aggregates",5,"Noise",5,"Shallow rock & reef","NO"
"106",1,"Aggregates",5,"Noise",6,"Shallow sediment","S"
"107",1,"Aggregates",5,"Noise",7,"Shelf rock & reef","NO"
"108",1,"Aggregates",5,"Noise",8,"Shelf sediment","S"
"109",1,"Aggregates",5,"Noise",9,"Slope rock & reef","NO"
"110",1,"Aggregates",5,"Noise",10,"Slope sediment","NO"
"111",1,"Aggregates",5,"Noise",11,"Deep Sea rock & reef","NO"
"112",1,"Aggregates",5,"Noise",12,"Deep Sea Sediment","NO"
"113",1,"Aggregates",5,"Noise",13,"Coastal Pelagic","S"
"114",1,"Aggregates",5,"Noise",14,"Shelf Pelagic","S"
"115",1,"Aggregates",5,"Noise",15,"Oceanic Pelagic","NO"
"116",1,"Aggregates",5,"Noise",16,"Marine Mammals","S"
"117",1,"Aggregates",5,"Noise",17,"Pelagic Fish","S"
"118",1,"Aggregates",5,"Noise",18,"Demersal Fish","S"
"119",1,"Aggregates",5,"Noise",19,"Deep-sea Fish","NO"
"120",1,"Aggregates",5,"Noise",20,"Deep-sea Elasmobranchs","NO"
"121",1,"Aggregates",5,"Noise",21,"Pelagic Elasmobranchs","S"
"122",1,"Aggregates",5,"Noise",22,"Demersal Elasmobranchs","S"
"123",1,"Aggregates",5,"Noise",23,"Reptiles","S"
"124",1,"Aggregates",5,"Noise",24,"Marine birds","NO"
"125",1,"Aggregates",5,"Noise",25,"Cephalopods","S"
"126",1,"Aggregates",6,"Litter",1,"Littoral rock & reef","NO"
"127",1,"Aggregates",6,"Litter",2,"Littoral sediment","S"
"128",1,"Aggregates",6,"Litter",3,"Mangroves","NO"
"129",1,"Aggregates",6,"Litter",4,"Saltmarshes","NO"
"130",1,"Aggregates",6,"Litter",5,"Shallow rock & reef","NO"
"131",1,"Aggregates",6,"Litter",6,"Shallow sediment","S"
"132",1,"Aggregates",6,"Litter",7,"Shelf rock & reef","NO"
"133",1,"Aggregates",6,"Litter",8,"Shelf sediment","S"
"134",1,"Aggregates",6,"Litter",9,"Slope rock & reef","NO"
"135",1,"Aggregates",6,"Litter",10,"Slope sediment","NO"
"136",1,"Aggregates",6,"Litter",11,"Deep Sea rock & reef","NO"
"137",1,"Aggregates",6,"Litter",12,"Deep Sea Sediment","NO"
"138",1,"Aggregates",6,"Litter",13,"Coastal Pelagic","S"
"139",1,"Aggregates",6,"Litter",14,"Shelf Pelagic","S"
"140",1,"Aggregates",6,"Litter",15,"Oceanic Pelagic","NO"
"141",1,"Aggregates",6,"Litter",16,"Marine Mammals","S"
"142",1,"Aggregates",6,"Litter",17,"Pelagic Fish","S"
"143",1,"Aggregates",6,"Litter",18,"Demersal Fish","S"
"144",1,"Aggregates",6,"Litter",19,"Deep-sea Fish","NO"
"145",1,"Aggregates",6,"Litter",20,"Deep-sea Elasmobranchs","NO"
"146",1,"Aggregates",6,"Litter",21,"Pelagic Elasmobranchs","S"
"147",1,"Aggregates",6,"Litter",22,"Demersal Elasmobranchs","S"
"148",1,"Aggregates",6,"Litter",23,"Reptiles","S"
"149",1,"Aggregates",6,"Litter",24,"Marine birds","NO"
"150",1,"Aggregates",6,"Litter",25,"Cephalopods","S"
"151",1,"Aggregates",7,"Thermal Regime",1,"Littoral rock & reef","NO"
"152",1,"Aggregates",7,"Thermal Regime",2,"Littoral sediment","NO"
"153",1,"Aggregates",7,"Thermal Regime",3,"Mangroves","NO"
"154",1,"Aggregates",7,"Thermal Regime",4,"Saltmarshes","NO"
"155",1,"Aggregates",7,"Thermal Regime",5,"Shallow rock & reef","NO"
"156",1,"Aggregates",7,"Thermal Regime",6,"Shallow sediment","NO"
"157",1,"Aggregates",7,"Thermal Regime",7,"Shelf rock & reef","NO"
"158",1,"Aggregates",7,"Thermal Regime",8,"Shelf sediment","NO"
"159",1,"Aggregates",7,"Thermal Regime",9,"Slope rock & reef","NO"
"160",1,"Aggregates",7,"Thermal Regime",10,"Slope sediment","NO"
"161",1,"Aggregates",7,"Thermal Regime",11,"Deep Sea rock & reef","NO"
"162",1,"Aggregates",7,"Thermal Regime",12,"Deep Sea Sediment","NO"
"163",1,"Aggregates",7,"Thermal Regime",13,"Coastal Pelagic","NO"
"164",1,"Aggregates",7,"Thermal Regime",14,"Shelf Pelagic","NO"
"165",1,"Aggregates",7,"Thermal Regime",15,"Oceanic Pelagic","NO"
"166",1,"Aggregates",7,"Thermal Regime",16,"Marine Mammals","NO"
"167",1,"Aggregates",7,"Thermal Regime",17,"Pelagic Fish","NO"
"168",1,"Aggregates",7,"Thermal Regime",18,"Demersal Fish","NO"
"169",1,"Aggregates",7,"Thermal Regime",19,"Deep-sea Fish","NO"
"170",1,"Aggregates",7,"Thermal Regime",20,"Deep-sea Elasmobranchs","NO"
"171",1,"Aggregates",7,"Thermal Regime",21,"Pelagic Elasmobranchs","NO"
"172",1,"Aggregates",7,"Thermal Regime",22,"Demersal Elasmobranchs","NO"
"173",1,"Aggregates",7,"Thermal Regime",23,"Reptiles","NO"
"174",1,"Aggregates",7,"Thermal Regime",24,"Marine birds","NO"
"175",1,"Aggregates",7,"Thermal Regime",25,"Cephalopods","NO"
"176",1,"Aggregates",8,"Salinity Regime",1,"Littoral rock & reef","NO"
"177",1,"Aggregates",8,"Salinity Regime",2,"Littoral sediment","NO"
"178",1,"Aggregates",8,"Salinity Regime",3,"Mangroves","NO"
"179",1,"Aggregates",8,"Salinity Regime",4,"Saltmarshes","NO"
"180",1,"Aggregates",8,"Salinity Regime",5,"Shallow rock & reef","NO"
"181",1,"Aggregates",8,"Salinity Regime",6,"Shallow sediment","NO"
"182",1,"Aggregates",8,"Salinity Regime",7,"Shelf rock & reef","NO"
"183",1,"Aggregates",8,"Salinity Regime",8,"Shelf sediment","NO"
"184",1,"Aggregates",8,"Salinity Regime",9,"Slope rock & reef","NO"
"185",1,"Aggregates",8,"Salinity Regime",10,"Slope sediment","NO"
"186",1,"Aggregates",8,"Salinity Regime",11,"Deep Sea rock & reef","NO"
"187",1,"Aggregates",8,"Salinity Regime",12,"Deep Sea Sediment","NO"
"188",1,"Aggregates",8,"Salinity Regime",13,"Coastal Pelagic","NO"
"189",1,"Aggregates",8,"Salinity Regime",14,"Shelf Pelagic","NO"
"190",1,"Aggregates",8,"Salinity Regime",15,"Oceanic Pelagic","NO"
"191",1,"Aggregates",8,"Salinity Regime",16,"Marine Mammals","NO"
"192",1,"Aggregates",8,"Salinity Regime",17,"Pelagic Fish","NO"
"193",1,"Aggregates",8,"Salinity Regime",18,"Demersal Fish","NO"
"194",1,"Aggregates",8,"Salinity Regime",19,"Deep-sea Fish","NO"
"195",1,"Aggregates",8,"Salinity Regime",20,"Deep-sea Elasmobranchs","NO"
"196",1,"Aggregates",8,"Salinity Regime",21,"Pelagic Elasmobranchs","NO"
"197",1,"Aggregates",8,"Salinity Regime",22,"Demersal Elasmobranchs","NO"
"198",1,"Aggregates",8,"Salinity Regime",23,"Reptiles","NO"
"199",1,"Aggregates",8,"Salinity Regime",24,"Marine birds","NO"
"200",1,"Aggregates",8,"Salinity Regime",25,"Cephalopods","NO"
"201",1,"Aggregates",9,"Introduction of Contaminating compounds",1,"Littoral rock & reef","NO"
"202",1,"Aggregates",9,"Introduction of Contaminating compounds",2,"Littoral sediment","S"
"203",1,"Aggregates",9,"Introduction of Contaminating compounds",3,"Mangroves","NO"
"204",1,"Aggregates",9,"Introduction of Contaminating compounds",4,"Saltmarshes","NO"
"205",1,"Aggregates",9,"Introduction of Contaminating compounds",5,"Shallow rock & reef","NO"
"206",1,"Aggregates",9,"Introduction of Contaminating compounds",6,"Shallow sediment","S"
"207",1,"Aggregates",9,"Introduction of Contaminating compounds",7,"Shelf rock & reef","NO"
"208",1,"Aggregates",9,"Introduction of Contaminating compounds",8,"Shelf sediment","S"
"209",1,"Aggregates",9,"Introduction of Contaminating compounds",9,"Slope rock & reef","NO"
"210",1,"Aggregates",9,"Introduction of Contaminating compounds",10,"Slope sediment","NO"
"211",1,"Aggregates",9,"Introduction of Contaminating compounds",11,"Deep Sea rock & reef","NO"
"212",1,"Aggregates",9,"Introduction of Contaminating compounds",12,"Deep Sea Sediment","NO"
"213",1,"Aggregates",9,"Introduction of Contaminating compounds",13,"Coastal Pelagic","S"
"214",1,"Aggregates",9,"Introduction of Contaminating compounds",14,"Shelf Pelagic","S"
"215",1,"Aggregates",9,"Introduction of Contaminating compounds",15,"Oceanic Pelagic","NO"
"216",1,"Aggregates",9,"Introduction of Contaminating compounds",16,"Marine Mammals","S"
"217",1,"Aggregates",9,"Introduction of Contaminating compounds",17,"Pelagic Fish","S"
"218",1,"Aggregates",9,"Introduction of Contaminating compounds",18,"Demersal Fish","S"
"219",1,"Aggregates",9,"Introduction of Contaminating compounds",19,"Deep-sea Fish","NO"
"220",1,"Aggregates",9,"Introduction of Contaminating compounds",20,"Deep-sea Elasmobranchs","NO"
"221",1,"Aggregates",9,"Introduction of Contaminating compounds",21,"Pelagic Elasmobranchs","S"
"222",1,"Aggregates",9,"Introduction of Contaminating compounds",22,"Demersal Elasmobranchs","S"
"223",1,"Aggregates",9,"Introduction of Contaminating compounds",23,"Reptiles","S"
"224",1,"Aggregates",9,"Introduction of Contaminating compounds",24,"Marine birds","NO"
"225",1,"Aggregates",9,"Introduction of Contaminating compounds",25,"Cephalopods","S"
"226",1,"Aggregates",10,"Input of Organic Matter (including N&P)",1,"Littoral rock & reef","NO"
"227",1,"Aggregates",10,"Input of Organic Matter (including N&P)",2,"Littoral sediment","NO"
"228",1,"Aggregates",10,"Input of Organic Matter (including N&P)",3,"Mangroves","NO"
"229",1,"Aggregates",10,"Input of Organic Matter (including N&P)",4,"Saltmarshes","NO"
"230",1,"Aggregates",10,"Input of Organic Matter (including N&P)",5,"Shallow rock & reef","NO"
"231",1,"Aggregates",10,"Input of Organic Matter (including N&P)",6,"Shallow sediment","NO"
"232",1,"Aggregates",10,"Input of Organic Matter (including N&P)",7,"Shelf rock & reef","NO"
"233",1,"Aggregates",10,"Input of Organic Matter (including N&P)",8,"Shelf sediment","NO"
"234",1,"Aggregates",10,"Input of Organic Matter (including N&P)",9,"Slope rock & reef","NO"
"235",1,"Aggregates",10,"Input of Organic Matter (including N&P)",10,"Slope sediment","NO"
"236",1,"Aggregates",10,"Input of Organic Matter (including N&P)",11,"Deep Sea rock & reef","NO"
"237",1,"Aggregates",10,"Input of Organic Matter (including N&P)",12,"Deep Sea Sediment","NO"
"238",1,"Aggregates",10,"Input of Organic Matter (including N&P)",13,"Coastal Pelagic","NO"
"239",1,"Aggregates",10,"Input of Organic Matter (including N&P)",14,"Shelf Pelagic","NO"
"240",1,"Aggregates",10,"Input of Organic Matter (including N&P)",15,"Oceanic Pelagic","NO"
"241",1,"Aggregates",10,"Input of Organic Matter (including N&P)",16,"Marine Mammals","NO"
"242",1,"Aggregates",10,"Input of Organic Matter (including N&P)",17,"Pelagic Fish","NO"
"243",1,"Aggregates",10,"Input of Organic Matter (including N&P)",18,"Demersal Fish","NO"
"244",1,"Aggregates",10,"Input of Organic Matter (including N&P)",19,"Deep-sea Fish","NO"
"245",1,"Aggregates",10,"Input of Organic Matter (including N&P)",20,"Deep-sea Elasmobranchs","NO"
"246",1,"Aggregates",10,"Input of Organic Matter (including N&P)",21,"Pelagic Elasmobranchs","NO"
"247",1,"Aggregates",10,"Input of Organic Matter (including N&P)",22,"Demersal Elasmobranchs","NO"
"248",1,"Aggregates",10,"Input of Organic Matter (including N&P)",23,"Reptiles","NO"
"249",1,"Aggregates",10,"Input of Organic Matter (including N&P)",24,"Marine birds","NO"
"250",1,"Aggregates",10,"Input of Organic Matter (including N&P)",25,"Cephalopods","NO"
"251",1,"Aggregates",11,"Invasive species",1,"Littoral rock & reef","NO"
"252",1,"Aggregates",11,"Invasive species",2,"Littoral sediment","NO"
"253",1,"Aggregates",11,"Invasive species",3,"Mangroves","NO"
"254",1,"Aggregates",11,"Invasive species",4,"Saltmarshes","NO"
"255",1,"Aggregates",11,"Invasive species",5,"Shallow rock & reef","NO"
"256",1,"Aggregates",11,"Invasive species",6,"Shallow sediment","NO"
"257",1,"Aggregates",11,"Invasive species",7,"Shelf rock & reef","NO"
"258",1,"Aggregates",11,"Invasive species",8,"Shelf sediment","NO"
"259",1,"Aggregates",11,"Invasive species",9,"Slope rock & reef","NO"
"260",1,"Aggregates",11,"Invasive species",10,"Slope sediment","NO"
"261",1,"Aggregates",11,"Invasive species",11,"Deep Sea rock & reef","NO"
"262",1,"Aggregates",11,"Invasive species",12,"Deep Sea Sediment","NO"
"263",1,"Aggregates",11,"Invasive species",13,"Coastal Pelagic","NO"
"264",1,"Aggregates",11,"Invasive species",14,"Shelf Pelagic","NO"
"265",1,"Aggregates",11,"Invasive species",15,"Oceanic Pelagic","NO"
"266",1,"Aggregates",11,"Invasive species",16,"Marine Mammals","NO"
"267",1,"Aggregates",11,"Invasive species",17,"Pelagic Fish","NO"
"268",1,"Aggregates",11,"Invasive species",18,"Demersal Fish","NO"
"269",1,"Aggregates",11,"Invasive species",19,"Deep-sea Fish","NO"
"270",1,"Aggregates",11,"Invasive species",20,"Deep-sea Elasmobranchs","NO"
"271",1,"Aggregates",11,"Invasive species",21,"Pelagic Elasmobranchs","NO"
"272",1,"Aggregates",11,"Invasive species",22,"Demersal Elasmobranchs","NO"
"273",1,"Aggregates",11,"Invasive species",23,"Reptiles","NO"
"274",1,"Aggregates",11,"Invasive species",24,"Marine birds","NO"
"275",1,"Aggregates",11,"Invasive species",25,"Cephalopods","NO"
"276",1,"Aggregates",12,"Species Extraction",1,"Littoral rock & reef","NO"
"277",1,"Aggregates",12,"Species Extraction",2,"Littoral sediment","NO"
"278",1,"Aggregates",12,"Species Extraction",3,"Mangroves","NO"
"279",1,"Aggregates",12,"Species Extraction",4,"Saltmarshes","NO"
